"cid","name","chamber","avg04","avg12","growth","chgpct","category","Origin","Source"
"N00002083","Moran, Jim (D-Va)","H","8079160","8000","-8071160","-99.9","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026050","Murkowski, Lisa (I-Alaska)","S","516515","762520","246005","47.6","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024992","Murphy, Tim (R-Pa)","H","867025","712524","-154501","-17.8","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007876","Murray, Patty (D-Wash)","S","658509","850008","191499","29.1","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002327","Myrick, Sue (R-NC)","H","107501","222504","115003","107.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000939","Nadler, Jerrold (D-NY)","H","113504","-16499","-130003","-114.5",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006789","Napolitano, Grace (D-Calif)","H","406503","256502","-150001","-36.9","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000153","Neal, Richard E (D-Mass)","H","74002","166505","92503","125.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005329","Nelson, Ben (D-Neb)","S","12895523","15043552","2148029","16.7","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009926","Nelson, Bill (D-Fla)","S","4414507","3757502","-657005","-14.9","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026043","Neugebauer, Randy (R-Texas)","H","6964024","10235038","3271014","47.0","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001692","Norton, Eleanor Holmes (D-DC)","H","1448011","1886521","438510","30.3","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007248","Nunes, Devin Gerald (R-Calif)","H","100000","183001","83001","83.0","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009638","Obama, Barack","E","300002","4366506","4066504","1355.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000143","Olver, John W (D-Mass)","H","688006","3484514","2796508","406.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000781","Pallone, Frank Jr (D-NJ)","H","454518","4417083","3962565","871.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000751","Pascrell, Bill Jr (D-NJ)","H","2099019","2991019","892000","42.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006397","Pastor, Ed (D-Ariz)","H","520005","1404006","884001","170.0",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005906","Paul, Ron (R-Texas)","H","2305019","5734518","3429499","148.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00012672","Pearce, Steve (R-NM)","H","16940505","22614007","5673502","33.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007360","Pelosi, Nancy (D-Calif)","H","41209054","87997030","46787976","113.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003765","Pence, Mike (R-Ind)","H","13002","211510","198508","1526.7",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004558","Peterson, Collin C (D-Minn)","H","182501","1602008","1419507","777.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004426","Petri, Tom (R-Wis)","H","21233515","25638511","4404996","20.7","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001633","Pitts, Joe (R-Pa)","H","490502","896004","405502","82.7","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009719","Platts, Todd (R-Pa)","H","56003","107508","51505","92.0","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026457","Poe, Ted (R-Texas)","H","26502","446006","419504","1582.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003682","Portman, Rob","S","10717040","13924561","3207521","29.9","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002260","Price, David (D-NC)","H","1990534","3030039","1039505","52.2","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026160","Price, Tom (R-Ga)","H","11416711","8266243","-3150468","-27.6","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00013823","Pryor, Mark (D-Ark)","S","291003","8500","-282503","-97.1","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002198","Rahall, Nick (D-WVa)","H","4292581","2776087","-1516494","-35.3","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000964","Rangel, Charles B (D-NY)","H","1013005","1811507","798502","78.8","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00000362","Reed, Jack (D-RI)","S","575511","608523","33012","5.7","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00004645","Rehberg, Denny (R-Mont)","H","30807506","5564505","-25243001","-81.9","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026885","Reichert, Dave (R-Wash)","H","353504","380003","26499","7.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009922","Reid, Harry (D-Nev)","S","3770044","4372030","601986","16.0","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00005285","Roberts, Pat (R-Kan)","S","1807534","1695514","-112020","-6.2","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001685","Rockefeller, Jay (D-WVa)","S","101689012","101290514","-398498","-0.4","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003473","Rogers, Hal (R-Ky)","H","4029257","3762739","-266518","-6.6","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009668","Rogers, Mike (R-Mich)","H","464003","351007","-112996","-24.4","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
